Data Structure,Number of Nodes,Density,User Time,Add Time,GetNext Time,Update Time
Bucket Queue,5000,0.1,3.2539,0.1192,0.0065,0.7587
LL Priority Queue,5000,0.1,19.8617,0.0125,0.0045,17.4943
Priority Queue,5000,0.1,7.6785,0.0043,0.6440,2.3422
Binary Heap,5000,0.1,55.2839,4.1930,3.5748,43.4319
Bucket Queue,5000,0.1,2.6807,0.1202,0.0049,0.7589
LL Priority Queue,5000,0.1,19.2128,0.1372,0.0036,17.2664
Priority Queue,5000,0.1,5.6454,0.0043,0.4671,2.2983
Binary Heap,5000,0.1,58.2885,4.4443,4.0801,44.8335
Bucket Queue,5000,0.1,6.1732,0.0395,0.0166,0.7615
LL Priority Queue,5000,0.1,23.1370,0.0119,0.0101,17.7487
Priority Queue,5000,0.1,7.8548,0.0028,0.6422,2.2928
Binary Heap,5000,0.1,54.1650,4.2196,3.2867,43.0395
Bucket Queue,5000,0.1,1.0538,0.1177,0.0007,0.6535
LL Priority Queue,5000,0.1,12.9797,0.0127,0.0007,12.6750
Priority Queue,5000,0.1,3.0952,0.0044,0.1484,2.1422
Binary Heap,5000,0.1,46.9540,4.2640,1.0384,40.7140
Bucket Queue,5000,0.1,6.1148,0.0845,0.0155,0.7833
LL Priority Queue,5000,0.1,24.3260,0.0099,0.0126,17.7759
Priority Queue,5000,0.1,8.0483,0.0024,0.6472,2.2149
Binary Heap,5000,0.1,58.0816,4.2078,4.2897,43.1537
Bucket Queue,5000,0.1,3.8619,0.0239,0.0087,0.7947
LL Priority Queue,5000,0.1,20.4486,0.0129,0.0058,17.4230
Priority Queue,5000,0.1,4.7023,0.0032,0.3576,2.3068
Binary Heap,5000,0.1,52.6346,4.2201,2.5592,43.3186
Bucket Queue,5000,0.1,2.6802,0.1200,0.0049,0.7583
LL Priority Queue,5000,0.1,19.1509,0.1366,0.0034,17.2186
Priority Queue,5000,0.1,4.7276,0.0042,0.3624,2.2351
Binary Heap,5000,0.1,53.5372,4.1613,3.2546,42.5764
Bucket Queue,5000,0.1,4.9737,0.0708,0.0120,0.7829
LL Priority Queue,5000,0.1,23.4404,0.0121,0.0122,17.5013
Priority Queue,5000,0.1,7.2099,0.0026,0.6240,2.2779
Binary Heap,5000,0.1,55.7054,4.2061,3.9540,42.5391
Bucket Queue,5000,0.1,3.7912,0.0089,0.0086,0.7635
LL Priority Queue,5000,0.1,20.4686,0.0125,0.0056,17.5082
Priority Queue,5000,0.1,5.0802,0.1311,0.4117,2.3213
Binary Heap,5000,0.1,53.8787,4.2224,3.2935,42.7935
Bucket Queue,5000,0.1,6.6763,0.1182,0.0176,0.7880
LL Priority Queue,5000,0.1,24.9192,0.0097,0.0136,18.0307
Priority Queue,5000,0.1,8.4732,0.0026,0.6797,2.2873
Binary Heap,5000,0.1,58.1252,4.1723,4.2830,43.0348
Bucket Queue,5000,0.1,1.3861,0.0536,0.0018,0.6805
LL Priority Queue,5000,0.1,15.8776,0.0110,0.0014,15.2250
Priority Queue,5000,0.1,4.0083,0.0037,0.2748,2.2823
Binary Heap,5000,0.1,43.3571,4.1277,0.6753,37.9471
Bucket Queue,5000,0.1,6.5131,0.2350,0.0174,0.7703
LL Priority Queue,5000,0.1,21.2536,0.0115,0.0061,18.0468
Priority Queue,5000,0.1,8.2317,0.0041,0.6638,2.3026
Binary Heap,5000,0.1,56.4923,4.1446,4.0914,42.5993
Bucket Queue,5000,0.1,0.7803,0.1014,0.0002,0.5810
LL Priority Queue,5000,0.1,9.0649,0.0122,0.0003,8.9479
Priority Queue,5000,0.1,2.1669,0.0047,0.0619,1.7758
Binary Heap,5000,0.1,31.8281,4.2577,0.1685,27.2393
Bucket Queue,5000,0.2,2.2726,0.0395,0.0034,0.7619
LL Priority Queue,5000,0.2,19.7865,0.1389,0.0024,18.1750
Priority Queue,5000,0.2,2.4023,0.0042,0.0553,1.9823
Binary Heap,5000,0.2,51.7056,4.1818,1.4394,44.5744
Bucket Queue,5000,0.2,2.7085,0.1179,0.0044,0.7567
LL Priority Queue,5000,0.2,20.3481,0.0108,0.0031,18.4979
Priority Queue,5000,0.2,4.3027,0.0035,0.2705,2.3071
Binary Heap,5000,0.2,47.1545,4.1868,0.5953,41.7527
Bucket Queue,5000,0.2,4.9341,0.0858,0.0101,0.7700
LL Priority Queue,5000,0.2,22.4156,0.0119,0.0070,18.3388
Priority Queue,5000,0.2,4.8356,0.0031,0.3274,2.4599
Binary Heap,5000,0.2,60.4862,4.4125,4.2116,44.9816
Bucket Queue,5000,0.2,6.2133,0.0088,0.0141,0.7668
LL Priority Queue,5000,0.2,24.7113,0.0117,0.0099,19.1938
Priority Queue,5000,0.2,10.1383,0.0030,0.6577,2.3671
Binary Heap,5000,0.2,54.4186,4.1872,2.4703,45.0184
Bucket Queue,5000,0.2,1.9818,0.1230,0.0025,0.7769
LL Priority Queue,5000,0.2,18.7556,0.0120,0.0019,17.6710
Priority Queue,5000,0.2,4.4027,0.0046,0.2759,2.4342
Binary Heap,5000,0.2,53.2563,4.1684,1.8207,45.3642
Bucket Queue,5000,0.2,1.3517,0.1947,0.0009,0.7092
LL Priority Queue,5000,0.2,16.4880,0.0113,0.0007,16.0265
Priority Queue,5000,0.2,3.1234,0.0034,0.1168,2.2747
Binary Heap,5000,0.2,48.2675,4.1585,0.7256,42.6430
Bucket Queue,5000,0.2,2.2546,0.1226,0.0032,0.7565
LL Priority Queue,5000,0.2,19.2691,0.0106,0.0024,17.8679
Priority Queue,5000,0.2,3.3023,0.0036,0.1336,2.3183
Binary Heap,5000,0.2,40.8436,4.1750,0.2461,36.1390
Bucket Queue,5000,0.2,6.6787,0.1188,0.0150,0.7487
LL Priority Queue,5000,0.2,24.5878,0.1462,0.0102,18.6821
Priority Queue,5000,0.2,5.3685,0.0032,0.3849,2.3701
Binary Heap,5000,0.2,53.8531,4.2011,2.3262,44.7847
Bucket Queue,5000,0.2,7.7135,0.0388,0.0193,0.7696
LL Priority Queue,5000,0.2,25.7263,0.0121,0.0131,18.8111
Priority Queue,5000,0.2,5.3420,0.0025,0.3901,2.4872
Binary Heap,5000,0.2,56.9225,4.1465,3.5204,44.7882
Bucket Queue,5000,0.2,7.0386,0.1118,0.0172,0.7906
LL Priority Queue,5000,0.2,25.0741,0.0102,0.0116,18.8241
Priority Queue,5000,0.2,8.8687,0.0031,0.6286,2.3979
Binary Heap,5000,0.2,53.0341,4.2090,1.7879,45.1556
Bucket Queue,5000,0.2,6.1514,0.0839,0.0141,0.7809
LL Priority Queue,5000,0.2,26.0612,0.0115,0.0133,19.1106
Priority Queue,5000,0.2,7.5690,0.0026,0.5705,2.4176
Binary Heap,5000,0.2,61.3777,4.2635,4.2404,45.4293
Bucket Queue,5000,0.2,1.2293,0.0232,0.0011,0.7090
LL Priority Queue,5000,0.2,16.2944,0.0124,0.0009,15.7722
Priority Queue,5000,0.2,2.4355,0.0028,0.0554,2.0253
Binary Heap,5000,0.2,48.1139,4.1820,0.7241,42.4687
Bucket Queue,5000,0.2,2.1020,0.1174,0.0027,0.7559
LL Priority Queue,5000,0.2,19.6719,0.1348,0.0020,18.3217
Priority Queue,5000,0.2,3.3176,0.0039,0.1449,2.2478
Binary Heap,5000,0.2,48.7411,4.2619,0.8333,42.7969
Bucket Queue,5000,0.2,8.3590,0.0693,0.0196,0.7676
LL Priority Queue,5000,0.2,26.1250,0.0113,0.0138,18.6796
Priority Queue,5000,0.2,10.2990,0.0023,0.6698,2.3712
Binary Heap,5000,0.2,60.7368,4.3033,4.2445,44.7860
Bucket Queue,5000,0.2,7.3056,0.0088,0.0177,0.7720
LL Priority Queue,5000,0.2,25.1659,0.0115,0.0117,18.6447
Priority Queue,5000,0.2,6.2523,0.1186,0.4418,2.3788
Binary Heap,5000,0.2,53.5832,4.1891,2.1086,45.0196
Bucket Queue,5000,0.2,6.9380,0.1148,0.0159,0.7876
LL Priority Queue,5000,0.2,25.0224,0.0117,0.0112,18.9374
Priority Queue,5000,0.2,5.1720,0.0033,0.3621,2.5025
Binary Heap,5000,0.2,55.8413,4.2027,2.9552,45.2047
Bucket Queue,5000,0.2,2.7415,0.0551,0.0046,0.7844
LL Priority Queue,5000,0.2,20.2007,0.0124,0.0032,18.3002
Priority Queue,5000,0.2,9.7373,0.0032,0.6747,2.4419
Binary Heap,5000,0.2,56.9232,4.1757,3.4316,44.9845
Bucket Queue,5000,0.2,4.3865,0.2360,0.0085,0.7715
LL Priority Queue,5000,0.2,22.3309,0.0111,0.0057,18.9392
Priority Queue,5000,0.2,7.5499,0.0040,0.5682,2.4995
Binary Heap,5000,0.2,56.1366,4.1672,3.0123,45.4098
Bucket Queue,5000,0.2,3.5144,0.0999,0.0067,0.7927
LL Priority Queue,5000,0.2,21.0077,0.0124,0.0042,18.4158
Priority Queue,5000,0.2,6.3404,0.0040,0.4621,2.4678
Binary Heap,5000,0.2,60.5510,4.1215,4.1513,46.0060
Bucket Queue,5000,0.2,5.1391,0.0383,0.0114,0.7825
LL Priority Queue,5000,0.2,22.9582,0.1376,0.0070,18.5552
Priority Queue,5000,0.2,9.1598,0.0030,0.6454,2.3835
Binary Heap,5000,0.2,52.6970,4.1905,1.6296,45.1854
Bucket Queue,5000,0.2,4.2947,0.1147,0.0089,0.7776
LL Priority Queue,5000,0.2,23.8169,0.0116,0.0095,18.4820
Priority Queue,5000,0.2,6.7415,0.0036,0.5324,2.4979
Binary Heap,5000,0.2,60.6651,4.2364,4.2259,44.9744
Bucket Queue,5000,0.2,2.6422,0.0848,0.0042,0.7882
LL Priority Queue,5000,0.2,19.9457,0.0120,0.0028,18.1961
Priority Queue,5000,0.2,4.4305,0.0033,0.2786,2.4256
Binary Heap,5000,0.2,53.1409,4.3086,1.7454,45.2595
Bucket Queue,5000,0.2,2.9129,0.0090,0.0053,0.7740
LL Priority Queue,5000,0.2,21.0717,0.0128,0.0035,19.0012
Priority Queue,5000,0.2,8.2895,0.0038,0.6204,2.4910
Binary Heap,5000,0.2,60.1730,4.2242,4.1621,45.3403
Bucket Queue,5000,0.2,7.5138,0.1162,0.0178,0.7803
LL Priority Queue,5000,0.2,25.7017,0.0111,0.0127,19.0478
Priority Queue,5000,0.2,9.8899,0.0033,0.6950,2.5639
Binary Heap,5000,0.2,60.0582,4.2066,4.1196,45.6431
Bucket Queue,5000,0.2,8.3897,0.2075,0.0203,0.8055
LL Priority Queue,5000,0.2,26.0999,0.0110,0.0132,18.8039
Priority Queue,5000,0.2,6.1256,0.0023,0.4517,2.3312
Binary Heap,5000,0.2,56.3482,4.1888,3.1646,45.1647
Bucket Queue,5000,0.2,4.9826,0.1137,0.0105,0.7601
LL Priority Queue,5000,0.2,23.9882,0.0121,0.0071,19.8178
Priority Queue,5000,0.2,5.5785,0.0038,0.3925,2.5145
Binary Heap,5000,0.2,60.2908,4.2403,4.2292,44.9018
Bucket Queue,5000,0.2,4.6121,0.1109,0.0096,0.8012
LL Priority Queue,5000,0.2,22.9157,0.1296,0.0062,19.1042
Priority Queue,5000,0.2,7.8842,0.0039,0.5746,2.4170
Binary Heap,5000,0.2,59.0288,4.1704,3.9133,45.4297
Bucket Queue,5000,0.2,1.3643,0.0385,0.0014,0.7233
LL Priority Queue,5000,0.2,17.2174,0.0109,0.0010,16.5770
Priority Queue,5000,0.2,3.9404,0.0033,0.2106,2.3847
Binary Heap,5000,0.2,52.2417,4.1700,1.3943,45.2299
Bucket Queue,5000,0.2,7.3926,0.1144,0.0171,0.7670
LL Priority Queue,5000,0.2,25.3418,0.0116,0.0117,18.7935
Priority Queue,5000,0.2,5.3167,0.0029,0.3794,2.3820
Binary Heap,5000,0.2,56.1491,4.2470,3.0360,45.2859
Bucket Queue,5000,0.2,7.8815,0.0854,0.0192,0.7822
LL Priority Queue,5000,0.2,25.9997,0.0111,0.0128,18.7171
Priority Queue,5000,0.2,10.4219,0.0023,0.6588,2.3221
Binary Heap,5000,0.2,59.9999,4.1747,4.1800,44.5508
Bucket Queue,5000,0.2,5.3691,0.0235,0.0120,0.7695
LL Priority Queue,5000,0.2,23.2951,0.0122,0.0075,18.7111
Priority Queue,5000,0.2,4.0150,0.0029,0.2346,2.4217
Binary Heap,5000,0.2,56.9648,4.1716,3.4045,45.0847
Bucket Queue,5000,0.2,7.7882,0.1183,0.0195,0.7826
LL Priority Queue,5000,0.2,26.0383,0.1291,0.0130,19.0630
Priority Queue,5000,0.2,7.8630,0.0027,0.5677,2.3731
Binary Heap,5000,0.2,55.9284,4.2275,2.9362,45.3112
Bucket Queue,5000,0.2,7.0796,0.0663,0.0168,0.7530
LL Priority Queue,5000,0.2,25.4007,0.0100,0.0125,19.0124
Priority Queue,5000,0.2,8.0086,0.0028,0.5855,2.4222
Binary Heap,5000,0.2,55.1068,4.2140,2.8387,44.7889
Bucket Queue,5000,0.2,2.2392,0.0088,0.0035,0.7465
LL Priority Queue,5000,0.2,19.5909,0.0116,0.0025,18.0859
Priority Queue,5000,0.2,4.5405,0.1237,0.2786,2.3960
Binary Heap,5000,0.2,52.7123,4.1579,1.7520,44.9747
Bucket Queue,5000,0.2,3.5259,0.1214,0.0066,0.7903
LL Priority Queue,5000,0.2,21.8350,0.0120,0.0052,18.6399
Priority Queue,5000,0.2,8.2503,0.0043,0.6125,2.4822
Binary Heap,5000,0.2,59.4199,4.2256,3.9812,45.5470
Bucket Queue,5000,0.2,2.5227,0.0536,0.0040,0.7956
LL Priority Queue,5000,0.2,19.9521,0.0125,0.0028,18.2627
Priority Queue,5000,0.2,4.3976,0.0036,0.2725,2.5096
Binary Heap,5000,0.2,59.7307,4.2109,4.0330,45.7839
Bucket Queue,5000,0.2,7.0495,0.2448,0.0167,0.7782
LL Priority Queue,5000,0.2,25.0479,0.0108,0.0115,18.9305
Priority Queue,5000,0.2,5.9963,0.0031,0.4341,2.4130
Binary Heap,5000,0.2,56.2648,4.2342,3.1396,45.1177
Bucket Queue,5000,0.2,1.6935,0.0987,0.0020,0.7495
LL Priority Queue,5000,0.2,18.2033,0.0131,0.0015,17.3245
Priority Queue,5000,0.2,3.8859,0.0048,0.2117,2.3853
Binary Heap,5000,0.2,42.9275,4.2386,0.3083,38.0514
Bucket Queue,5000,0.2,3.9487,0.0376,0.0085,0.7998
LL Priority Queue,5000,0.2,21.5310,0.1355,0.0053,18.3577
Priority Queue,5000,0.2,8.0046,0.0030,0.5995,2.3595
Binary Heap,5000,0.2,51.0885,4.2223,1.1165,44.6113
Bucket Queue,5000,0.2,7.4928,0.1207,0.0173,0.7690
LL Priority Queue,5000,0.2,25.2355,0.0108,0.0123,18.5776
Priority Queue,5000,0.2,7.4827,0.0030,0.5539,2.4534
Binary Heap,5000,0.2,56.9957,4.1592,3.3296,45.3905
Bucket Queue,5000,0.2,6.3123,0.0833,0.0149,0.7712
LL Priority Queue,5000,0.2,25.1477,0.0124,0.0122,18.6771
Priority Queue,5000,0.2,5.5061,0.0028,0.4169,2.4287
Binary Heap,5000,0.2,57.6246,4.3379,3.6053,44.9232
Bucket Queue,5000,0.2,5.0209,0.0090,0.0111,0.7581
LL Priority Queue,5000,0.2,23.3303,0.0120,0.0074,18.9538
Priority Queue,5000,0.2,6.7495,0.0032,0.5101,2.4413
Binary Heap,5000,0.2,58.6299,4.1963,3.8555,45.2781
Bucket Queue,5000,0.2,4.1965,0.1130,0.0084,0.7847
LL Priority Queue,5000,0.2,21.5278,0.0124,0.0055,18.1855
Priority Queue,5000,0.2,4.1965,0.0039,0.2496,2.4036
Binary Heap,5000,0.2,57.1798,4.2727,3.4265,45.1979
Bucket Queue,5000,0.2,5.5625,0.1961,0.0128,0.7888
LL Priority Queue,5000,0.2,23.3654,0.0111,0.0085,18.7154
Priority Queue,5000,0.2,7.2390,0.0031,0.5816,2.4700
Binary Heap,5000,0.2,52.0410,4.2050,1.4834,44.8280
Bucket Queue,5000,0.2,1.4949,0.1127,0.0015,0.7376
LL Priority Queue,5000,0.2,17.2146,0.0120,0.0012,16.5448
Priority Queue,5000,0.2,4.6516,0.0045,0.2883,2.6093
Binary Heap,5000,0.2,47.0137,4.2115,0.5320,41.7286
Bucket Queue,5000,0.2,4.2891,0.1173,0.0085,0.7635
LL Priority Queue,5000,0.2,22.7748,0.1403,0.0064,18.8239
Priority Queue,5000,0.2,9.7398,0.0040,0.6399,2.3643
Binary Heap,5000,0.2,57.4337,4.2328,3.6084,44.8918
Bucket Queue,5000,0.2,3.4199,0.0380,0.0064,0.7814
LL Priority Queue,5000,0.2,20.9836,0.0128,0.0042,18.3704
Priority Queue,5000,0.2,9.2219,0.0033,0.6450,2.5112
Binary Heap,5000,0.2,55.6327,4.1528,2.9007,45.1666
Bucket Queue,5000,0.2,4.8674,0.1141,0.0103,0.7853
LL Priority Queue,5000,0.2,22.3267,0.0118,0.0063,18.3527
Priority Queue,5000,0.2,7.7425,0.0039,0.5607,2.4974
Binary Heap,5000,0.2,55.6850,4.1563,2.8245,45.4059
Bucket Queue,5000,0.2,5.9009,0.0836,0.0133,0.7829
LL Priority Queue,5000,0.2,24.0666,0.0112,0.0088,19.0226
Priority Queue,5000,0.2,9.5575,0.0027,0.6514,2.4595
Binary Heap,5000,0.2,56.6381,4.1804,3.1199,45.5990
Bucket Queue,5000,0.2,2.5698,0.0230,0.0040,0.8595
LL Priority Queue,5000,0.2,19.9821,0.0130,0.0027,18.3081
Priority Queue,5000,0.2,6.8359,0.0034,0.5179,2.5544
Binary Heap,5000,0.2,53.8165,4.1541,1.9444,45.6705
Bucket Queue,5000,0.2,6.3983,0.1160,0.0151,0.7879
LL Priority Queue,5000,0.2,24.0297,0.1360,0.0093,18.4475
Priority Queue,5000,0.2,7.9770,0.0034,0.5774,2.3423
Binary Heap,5000,0.2,53.5119,4.2201,2.1637,44.8080
Bucket Queue,5000,0.2,7.5781,0.0689,0.0184,0.7549
LL Priority Queue,5000,0.2,21.7549,0.0099,0.0048,18.8482
Priority Queue,5000,0.2,7.4924,0.0034,0.5668,2.4383
Binary Heap,5000,0.2,55.4545,4.2295,2.8509,45.0858
Bucket Queue,5000,0.2,7.9887,0.0092,0.0198,0.7842
LL Priority Queue,5000,0.2,25.8057,0.0111,0.0133,18.7460
Priority Queue,5000,0.2,10.6106,0.1191,0.6858,2.4278
Binary Heap,5000,0.2,59.7904,4.2433,4.1480,44.8899
Bucket Queue,5000,0.2,7.3074,0.1211,0.0174,0.7676
LL Priority Queue,5000,0.2,24.9725,0.0103,0.0114,18.6217
Priority Queue,5000,0.2,6.4532,0.0030,0.4667,2.3654
Binary Heap,5000,0.2,52.1274,4.2111,1.5656,44.7210
Bucket Queue,5000,0.2,5.0679,0.0528,0.0112,0.7488
LL Priority Queue,5000,0.2,23.1823,0.0122,0.0075,18.8814
Priority Queue,5000,0.2,5.4509,0.0032,0.3952,2.4112
Binary Heap,5000,0.2,57.1744,4.1509,3.4862,45.0760
Bucket Queue,5000,0.2,4.2202,0.2335,0.0082,0.7845
LL Priority Queue,5000,0.2,21.7347,0.0124,0.0057,18.4857
Priority Queue,5000,0.2,4.5436,0.0039,0.2735,2.5755
Binary Heap,5000,0.2,53.0840,4.2166,1.9108,44.9342
Bucket Queue,5000,0.2,1.1744,0.1022,0.0009,0.6820
LL Priority Queue,5000,0.2,15.7641,0.0124,0.0008,15.3536
Priority Queue,5000,0.2,3.3732,0.0046,0.1382,2.3812
Binary Heap,5000,0.2,44.8439,4.2315,0.3828,39.8311
Bucket Queue,5000,0.2,1.2829,0.0397,0.0012,0.7047
LL Priority Queue,5000,0.2,16.9841,0.1433,0.0009,16.2834
Priority Queue,5000,0.2,4.0892,0.0029,0.2344,2.3550
Binary Heap,5000,0.2,52.1892,4.1567,1.5834,44.7995
Bucket Queue,5000,0.2,3.8173,0.1161,0.0082,0.7716
LL Priority Queue,5000,0.2,21.3082,0.0114,0.0047,18.3832
Priority Queue,5000,0.2,4.4909,0.0039,0.2748,2.4458
Binary Heap,5000,0.2,58.6588,4.1498,3.8499,45.3948
Bucket Queue,5000,0.2,8.5158,0.0904,0.0192,0.8150
LL Priority Queue,5000,0.2,26.0189,0.0116,0.0131,18.7512
Priority Queue,5000,0.2,10.8296,0.0022,0.6770,2.4463
Binary Heap,5000,0.2,59.9240,4.2926,4.1669,44.5820
Bucket Queue,5000,0.2,8.2843,0.0088,0.0202,0.7766
LL Priority Queue,5000,0.2,26.0268,0.0110,0.0132,18.6655
Priority Queue,5000,0.2,10.4741,0.0024,0.6341,2.3306
Binary Heap,5000,0.2,60.1276,4.1478,4.2117,44.4894
Bucket Queue,5000,0.2,5.1449,0.1117,0.0117,0.7598
LL Priority Queue,5000,0.2,22.5802,0.0116,0.0071,18.3161
Priority Queue,5000,0.2,3.3553,0.0037,0.1514,2.3467
Binary Heap,5000,0.2,49.7316,4.2691,0.9349,43.5850
Bucket Queue,5000,0.2,5.2346,0.1840,0.0114,0.7688
LL Priority Queue,5000,0.2,23.0108,0.0124,0.0075,18.7720
Priority Queue,5000,0.2,9.9267,0.0032,0.6656,2.4259
Binary Heap,5000,0.2,57.0320,4.1552,3.5863,44.5626
Bucket Queue,5000,0.2,6.4527,0.1150,0.0145,0.7807
LL Priority Queue,5000,0.2,24.4465,0.0109,0.0097,18.8673
Priority Queue,5000,0.2,7.3815,0.0035,0.5501,2.5032
Binary Heap,5000,0.2,57.3758,4.1529,3.4792,45.3686
Bucket Queue,5000,0.2,3.5172,0.1188,0.0064,0.7808
LL Priority Queue,5000,0.2,21.6085,0.1365,0.0044,18.8224
Priority Queue,5000,0.2,9.6977,0.0043,0.6655,2.5713
Binary Heap,5000,0.2,57.2066,4.2771,3.2959,45.5978
Bucket Queue,5000,0.2,2.8394,0.0382,0.0050,0.7716
LL Priority Queue,5000,0.2,20.9230,0.0123,0.0033,18.8932
Priority Queue,5000,0.2,9.5378,0.0030,0.6642,2.5042
Binary Heap,5000,0.2,57.5348,4.1694,3.6390,44.9535
Bucket Queue,5000,0.2,5.2010,0.1196,0.0112,0.7667
LL Priority Queue,5000,0.2,22.7793,0.0121,0.0071,18.4773
Priority Queue,5000,0.2,4.0475,0.0034,0.2307,2.4612
Binary Heap,5000,0.2,55.4954,4.1598,2.4884,46.0844
Bucket Queue,5000,0.2,6.3636,0.0842,0.0146,0.7697
LL Priority Queue,5000,0.2,24.7006,0.0104,0.0099,18.9393
Priority Queue,5000,0.2,9.7457,0.0024,0.6450,2.3842
Binary Heap,5000,0.2,55.7820,4.1831,3.1378,44.6387
Bucket Queue,5000,0.2,1.0975,0.0234,0.0009,0.6907
LL Priority Queue,5000,0.2,16.0632,0.0124,0.0007,15.6478
Priority Queue,5000,0.2,3.7162,0.0035,0.1811,2.3720
Binary Heap,5000,0.2,50.2794,4.1451,1.0151,44.0950
Bucket Queue,5000,0.2,3.0762,0.1137,0.0060,0.7399
LL Priority Queue,5000,0.2,21.0996,0.1369,0.0035,18.7588
Priority Queue,5000,0.2,8.1831,0.0040,0.5885,2.3414
Binary Heap,5000,0.2,53.4739,4.1536,2.1828,44.7865
Bucket Queue,5000,0.2,1.7654,0.0687,0.0022,0.7351
LL Priority Queue,5000,0.2,18.5999,0.0126,0.0017,17.6154
Priority Queue,5000,0.2,3.6515,0.0032,0.1762,2.3910
Binary Heap,5000,0.2,50.9614,4.2208,1.1347,44.4545
Bucket Queue,5000,0.2,3.2028,0.0091,0.0061,0.7740
LL Priority Queue,5000,0.2,20.9279,0.0119,0.0040,18.5102
Priority Queue,5000,0.2,9.3505,0.1319,0.6362,2.3817
Binary Heap,5000,0.2,56.6106,4.1791,3.5791,44.1624
Bucket Queue,5000,0.2,2.0553,0.1138,0.0027,0.7408
LL Priority Queue,5000,0.2,19.2331,0.0113,0.0021,17.9972
Priority Queue,5000,0.2,4.2888,0.0047,0.2659,2.4180
Binary Heap,5000,0.2,46.9177,4.1646,0.6604,41.4263
Bucket Queue,5000,0.2,8.1076,0.0540,0.0200,0.7526
LL Priority Queue,5000,0.2,25.7589,0.0113,0.0137,18.4614
Priority Queue,5000,0.2,8.9868,0.0026,0.6242,2.4577
Binary Heap,5000,0.2,59.7187,4.1865,4.2122,44.3259
Bucket Queue,5000,0.2,1.2952,0.2423,0.0008,0.6802
LL Priority Queue,5000,0.2,15.9570,0.0117,0.0007,15.5493
Priority Queue,5000,0.2,3.8743,0.0044,0.2187,2.2850
Binary Heap,5000,0.2,51.6460,4.1565,1.5240,44.3859
Bucket Queue,5000,0.2,1.0048,0.0966,0.0006,0.6323
LL Priority Queue,5000,0.2,14.6720,0.0112,0.0005,14.3695
Priority Queue,5000,0.2,2.8785,0.0044,0.0820,2.2631
Binary Heap,5000,0.2,49.1696,4.1684,0.8399,43.3134
Bucket Queue,5000,0.2,3.7180,0.0376,0.0070,0.7530
LL Priority Queue,5000,0.2,22.4367,0.1412,0.0071,18.4540
Priority Queue,5000,0.2,9.0231,0.0033,0.6286,2.2995
Binary Heap,5000,0.2,57.3810,4.1820,3.6650,44.6810
Bucket Queue,5000,0.2,5.6239,0.1161,0.0128,0.7858
LL Priority Queue,5000,0.2,23.4812,0.0118,0.0080,18.7832
Priority Queue,5000,0.2,5.2337,0.0037,0.3686,2.4792
Binary Heap,5000,0.2,55.8807,4.1938,2.9924,45.1940
Bucket Queue,5000,0.2,6.6991,0.0846,0.0158,0.7773
LL Priority Queue,5000,0.2,24.7274,0.0120,0.0105,18.8461
Priority Queue,5000,0.2,8.6633,0.0030,0.6275,2.4409
Binary Heap,5000,0.2,54.3075,4.2799,2.3120,45.1512
Bucket Queue,5000,0.2,4.4894,0.0088,0.0102,0.7915
LL Priority Queue,5000,0.2,22.5014,0.0111,0.0062,18.7534
Priority Queue,5000,0.2,9.0013,0.0031,0.6495,2.4456
Binary Heap,5000,0.2,54.4135,4.1979,2.5782,44.7882
Bucket Queue,5000,0.2,6.2967,0.1126,0.0150,0.7820
LL Priority Queue,5000,0.2,24.2845,0.0113,0.0094,18.8136
Priority Queue,5000,0.2,4.4814,0.0037,0.2856,2.4606
Binary Heap,5000,0.2,55.1271,4.1573,2.8374,44.8195
Bucket Queue,5000,0.2,7.6175,0.1936,0.0181,0.8145
LL Priority Queue,5000,0.2,25.7021,0.0118,0.0117,19.0896
Priority Queue,5000,0.2,5.7397,0.0025,0.4195,2.3852
Binary Heap,5000,0.2,60.0894,4.1356,4.1535,45.0138
Bucket Queue,5000,0.2,4.6800,0.1183,0.0097,0.7781
LL Priority Queue,5000,0.2,22.9856,0.0108,0.0063,19.2026
Priority Queue,5000,0.2,9.5798,0.0038,0.6620,2.4295
Binary Heap,5000,0.2,55.7774,4.1684,2.9624,45.1954
Bucket Queue,5000,0.2,4.2687,0.1184,0.0084,0.7746
LL Priority Queue,5000,0.2,22.3324,0.1294,0.0055,18.9035
Priority Queue,5000,0.2,8.0377,0.0042,0.5795,2.4045
Binary Heap,5000,0.2,58.2700,4.1598,3.7985,45.0796
Bucket Queue,5000,0.2,3.0408,0.0380,0.0053,0.7825
LL Priority Queue,5000,0.2,21.0274,0.0125,0.0036,18.8173
Priority Queue,5000,0.2,4.7016,0.0034,0.3259,2.4292
Binary Heap,5000,0.2,59.6335,4.1575,4.0037,45.6301
Bucket Queue,5000,0.2,6.6188,0.1202,0.0151,0.7872
LL Priority Queue,5000,0.2,24.2602,0.0113,0.0096,18.5862
Priority Queue,5000,0.2,7.2316,0.0035,0.5462,2.4277
Binary Heap,5000,0.2,58.5111,4.2140,3.8734,45.0447
Bucket Queue,5000,0.2,3.2557,0.0860,0.0059,0.7653
LL Priority Queue,5000,0.2,21.7728,0.0115,0.0044,19.1447
Priority Queue,5000,0.2,8.0665,0.0034,0.5952,2.4545
Binary Heap,5000,0.2,60.5891,4.2200,4.1720,45.5678
Bucket Queue,5000,0.2,5.3104,0.0240,0.0123,0.7699
